,distribution_grid
age_installed,"{'value': 10, 'unit': 'year'}"
capex_fix,"{'value': 0.0, 'unit': 'currency'}"
capex_var,"{'value': 0.0, 'unit': 'currency'}"
label,distribution grid infrastructure
lifetime,"{'value': 30, 'unit': 'year'}"
opex_fix,"{'value': 0, 'unit': 'currency/year'}"
opex_var,"{'value': 0, 'unit': 'currency/kWh'}"
