,unit
unit,str
optimizeCap,bool
installedCap,unit
age_installed,year
lifetime,year
development_costs,currency
specific_costs,currency/unit
specific_costs_om,currency/unit/year
dispatch_price,currency/unit dispatch
efficiency,factor
inflow_direction,str
outflow_direction,str
energyVector,str
type_oemof,str
maximumCap,float or None
