time,wind_speed,temp_air,ghi,dhi
2019-01-03 18:00:00+00:00,2.8364012,0.17791748,-3.4722223e-05,0.0
2019-01-03 19:00:00+00:00,2.7806747,-0.118255615,-3.4722223e-05,0.0
2019-01-03 20:00:00+00:00,2.6970556,-1.0681763,-3.4722223e-05,0.0
2019-01-03 21:00:00+00:00,2.765961,-1.2118225,-3.4722223e-05,0.0
2019-01-03 22:00:00+00:00,2.7259467,-2.068695,-3.4722223e-05,0.0
2019-01-03 23:00:00+00:00,2.2160323,-1.4927979,-3.4722223e-05,0.0
2019-01-04 00:00:00+00:00,1.2577645,-1.5098877,-3.4722223e-05,0.0
2019-01-04 01:00:00+00:00,1.0617296,-3.0698547,-3.4722223e-05,0.0
2019-01-04 02:00:00+00:00,2.0829422,-3.2673035,-3.4722223e-05,0.0
2019-01-04 03:00:00+00:00,2.645856,-3.1084595,-3.4722223e-05,0.0
2019-01-04 04:00:00+00:00,2.6782544,-3.379303,-3.4722223e-05,0.0
2019-01-04 05:00:00+00:00,2.5023499,-3.6533203,-3.4722223e-05,0.0
2019-01-04 06:00:00+00:00,1.9447099,-3.855194,-3.4722223e-05,0.0
2019-01-04 07:00:00+00:00,1.5475291,-3.4558716,40.379932,23.273718
2019-01-04 08:00:00+00:00,1.1918793,-2.5053406,150.3524,71.14664
2019-01-04 09:00:00+00:00,0.48962733,-1.7788391,262.63147,90.7231
2019-01-04 10:00:00+00:00,0.5062617,-1.3750916,335.712,98.737915
2019-01-04 11:00:00+00:00,1.044351,-1.1270142,356.49973,106.39813
2019-01-04 12:00:00+00:00,1.4984733,-0.835907,321.49252,98.52745
2019-01-04 13:00:00+00:00,1.6066586,-0.8618469,236.51318,84.90361
2019-01-04 14:00:00+00:00,1.1022334,-1.2997742,124.69823,56.594856
2019-01-04 15:00:00+00:00,0.83410853,-2.4844666,22.09573,14.305036
2019-01-04 16:00:00+00:00,0.83023924,-3.4166565,-3.4722223e-05,0.0
2019-01-04 17:00:00+00:00,0.9368262,-3.6634521,-3.4722223e-05,0.0
2019-01-04 18:00:00+00:00,1.3058699,-3.967865,-3.4722223e-05,0.0
2019-01-04 19:00:00+00:00,1.7870638,-3.500824,-3.4722223e-05,0.0
2019-01-04 20:00:00+00:00,1.7404481,-3.2793274,-3.4722223e-05,0.0
2019-01-04 21:00:00+00:00,1.3497957,-3.4590454,-3.4722223e-05,0.0
2019-01-04 22:00:00+00:00,0.80011714,-4.2621155,-3.4722223e-05,0.0
2019-01-04 23:00:00+00:00,0.05859375,-3.780548,-3.4722223e-05,0.0
2019-01-05 00:00:00+00:00,0.32259142,-5.598694,-3.4722223e-05,0.0
