time,MM,DD,HH,temp_air,P,WR,wind_speed,N,x,dirhi,dhi,A,E,ghi
2010-12-31 23:00:00+00:00,1,1,1,-3.1,101200,187,2.4,4,2.6,0,0,281,-294,0
2011-01-01 00:00:00+00:00,1,1,2,-2.4,101200,201,2.0,4,2.8,0,0,271,-293,0
2011-01-01 01:00:00+00:00,1,1,3,-2.1,101200,200,1.7,4,3.0,0,0,244,-292,0
2011-01-01 02:00:00+00:00,1,1,4,-2.8,101200,183,1.9,2,2.8,0,0,222,-289,0
2011-01-01 03:00:00+00:00,1,1,5,-3.4,101200,168,2.3,1,2.7,0,0,205,-287,0
2011-01-01 04:00:00+00:00,1,1,6,-4.0,101100,140,2.5,0,2.6,0,0,190,-285,0
2011-01-01 05:00:00+00:00,1,1,7,-3.9,101000,164,3.1,1,2.5,0,0,187,-284,0
2011-01-01 06:00:00+00:00,1,1,8,-3.9,101000,163,3.1,2,2.5,0,0,199,-283,0
2011-01-01 07:00:00+00:00,1,1,9,-4.1,100900,135,3.3,3,2.5,0,0,211,-283,0
2011-01-01 08:00:00+00:00,1,1,10,-3.0,100900,152,4.3,6,2.5,1,32,235,-284,33
2011-01-01 09:00:00+00:00,1,1,11,-2.9,100800,146,4.3,5,2.5,55,83,247,-286,138
2011-01-01 10:00:00+00:00,1,1,12,-1.8,100800,153,4.5,5,2.5,78,107,243,-290,185
2011-01-01 11:00:00+00:00,1,1,13,-0.7,100700,143,4.6,5,2.5,37,113,246,-295,150
2011-01-01 12:00:00+00:00,1,1,14,0.0,100500,154,4.8,6,2.6,2,74,255,-298,76
2011-01-01 13:00:00+00:00,1,1,15,0.8,100400,151,5.8,5,2.6,8,64,255,-300,72
2011-01-01 14:00:00+00:00,1,1,16,0.9,100300,153,6.4,7,2.5,5,27,261,-301,32
2011-01-01 15:00:00+00:00,1,1,17,0.8,100300,151,5.4,7,2.5,0,0,277,-302,0
2011-01-01 16:00:00+00:00,1,1,18,0.7,100200,152,5.5,8,2.5,0,0,286,-303,0
2011-01-01 17:00:00+00:00,1,1,19,0.8,100100,157,6.0,7,2.5,0,0,285,-304,0
2011-01-01 18:00:00+00:00,1,1,20,1.1,100100,156,4.9,8,2.5,0,0,285,-304,0
2011-01-01 19:00:00+00:00,1,1,21,0.8,100000,164,5.3,8,2.6,0,0,305,-305,0
2011-01-01 20:00:00+00:00,1,1,22,0.9,100000,171,5.8,8,2.8,0,0,306,-306,0
2011-01-01 21:00:00+00:00,1,1,23,0.3,100000,171,4.7,8,3.1,0,0,309,-308,0
2011-01-01 22:00:00+00:00,1,1,24,0.6,100000,167,4.5,8,3.4,0,0,312,-310,0
2011-01-01 23:00:00+00:00,1,2,1,0.2,99900,170,4.1,8,3.5,0,0,313,-312,0
2011-01-02 00:00:00+00:00,1,2,2,0.4,99900,179,4.2,8,3.6,0,0,315,-314,0
2011-01-02 01:00:00+00:00,1,2,3,0.6,99800,195,2.7,8,3.7,0,0,316,-315,0
2011-01-02 02:00:00+00:00,1,2,4,1.0,99900,185,3.5,8,3.8,0,0,318,-316,0
2011-01-02 03:00:00+00:00,1,2,5,1.3,99800,197,3.0,8,3.8,0,0,318,-316,0
2011-01-02 04:00:00+00:00,1,2,6,1.2,99800,186,3.1,8,3.7,0,0,318,-316,0
2011-01-02 05:00:00+00:00,1,2,7,1.5,99800,188,3.2,8,3.7,0,0,317,-316,0
2011-01-02 06:00:00+00:00,1,2,8,1.4,99700,175,2.9,8,3.7,0,0,316,-318,0
2011-01-02 07:00:00+00:00,1,2,9,1.4,99700,174,2.6,8,3.8,1,9,316,-320,10
2011-01-02 08:00:00+00:00,1,2,10,1.7,99700,176,2.4,8,3.8,5,44,316,-321,49
2011-01-02 09:00:00+00:00,1,2,11,2.0,99700,191,2.3,7,3.8,18,96,308,-322,114
2011-01-02 10:00:00+00:00,1,2,12,2.2,99700,187,2.5,5,3.8,19,120,284,-324,139
2011-01-02 11:00:00+00:00,1,2,13,2.6,99700,162,2.2,7,3.9,1,84,283,-327,85
2011-01-02 12:00:00+00:00,1,2,14,2.9,99700,150,2.7,7,3.9,0,47,300,-331,47
