time,MM,DD,HH,temp_air,P,WR,wind_speed,N,x,dirhi,dhi,A,E,ghi
2011-01-02 13:00:00+00:00,1,2,15,3.2,99600,156,2.6,7,3.9,0,38,301,-336,38
2011-01-02 14:00:00+00:00,1,2,16,3.1,99600,165,3.7,7,4.0,0,4,302,-337,4
2011-01-02 15:00:00+00:00,1,2,17,2.8,99600,164,2.8,4,4.1,0,0,279,-336,0
2011-01-02 16:00:00+00:00,1,2,18,2.5,99600,173,2.9,2,4.2,0,0,243,-333,0
2011-01-02 17:00:00+00:00,1,2,19,1.9,99700,178,3.0,1,4.2,0,0,220,-329,0
2011-01-02 18:00:00+00:00,1,2,20,2.2,99700,155,2.9,1,4.1,0,0,209,-326,0
2011-01-02 19:00:00+00:00,1,2,21,2.4,99700,179,3.5,0,4.2,0,0,206,-325,0
2011-01-02 20:00:00+00:00,1,2,22,1.9,99700,172,3.2,3,4.1,0,0,230,-326,0
2011-01-02 21:00:00+00:00,1,2,23,2.1,99700,178,2.9,3,4.1,0,0,253,-328,0
2011-01-02 22:00:00+00:00,1,2,24,1.8,99700,170,2.9,3,4.2,0,0,250,-329,0
2011-01-02 23:00:00+00:00,1,3,1,3.5,99800,176,3.8,5,4.2,0,0,261,-329,0
2011-01-03 00:00:00+00:00,1,3,2,3.3,99800,173,3.3,3,4.1,0,0,263,-329,0
2011-01-03 01:00:00+00:00,1,3,3,2.8,99700,166,3.3,3,4.0,0,0,249,-328,0
2011-01-03 02:00:00+00:00,1,3,4,2.3,99700,173,4.3,4,4.0,0,0,255,-328,0
2011-01-03 03:00:00+00:00,1,3,5,3.0,99800,183,3.6,6,4.1,0,0,273,-328,0
2011-01-03 04:00:00+00:00,1,3,6,3.5,99800,177,3.6,7,4.1,0,0,293,-328,0
2011-01-03 05:00:00+00:00,1,3,7,3.7,99800,181,3.9,7,4.2,0,0,298,-328,0
2011-01-03 06:00:00+00:00,1,3,8,3.8,99800,197,3.7,7,4.2,0,0,298,-329,0
2011-01-03 07:00:00+00:00,1,3,9,4.1,99800,190,3.6,7,4.2,0,0,299,-329,0
2011-01-03 08:00:00+00:00,1,3,10,4.4,99900,196,4.2,7,4.3,16,39,300,-330,55
2011-01-03 09:00:00+00:00,1,3,11,5.3,99900,213,4.2,5,4.4,76,67,289,-333,143
2011-01-03 10:00:00+00:00,1,3,12,6.1,100000,216,4.1,4,4.5,102,86,276,-336,188
2011-01-03 11:00:00+00:00,1,3,13,6.5,100000,220,5.1,4,4.6,93,95,273,-337,188
2011-01-03 12:00:00+00:00,1,3,14,7.2,100000,227,5.0,5,4.6,24,89,282,-338,113
2011-01-03 13:00:00+00:00,1,3,15,6.9,100000,239,4.5,6,4.6,12,61,293,-339,73
2011-01-03 14:00:00+00:00,1,3,16,5.7,100100,243,4.1,7,4.6,0,20,301,-338,20
2011-01-03 15:00:00+00:00,1,3,17,5.1,100200,243,3.9,7,4.8,0,0,304,-335,0
2011-01-03 16:00:00+00:00,1,3,18,5.3,100200,239,4.0,6,5.0,0,0,298,-332,0
2011-01-03 17:00:00+00:00,1,3,19,5.0,100300,236,4.0,6,5.0,0,0,292,-328,0
2011-01-03 18:00:00+00:00,1,3,20,4.9,100400,244,3.6,7,4.8,0,0,295,-323,0
2011-01-03 19:00:00+00:00,1,3,21,4.6,100500,246,3.3,7,4.6,0,0,299,-320,0
2011-01-03 20:00:00+00:00,1,3,22,3.9,100500,232,2.8,5,4.5,0,0,287,-319,0
2011-01-03 21:00:00+00:00,1,3,23,3.5,100600,238,2.6,4,4.4,0,0,271,-318,0
2011-01-03 22:00:00+00:00,1,3,24,3.0,100600,227,2.0,5,4.2,0,0,270,-318,0
2011-01-03 23:00:00+00:00,1,4,1,3.2,100600,198,1.8,5,4.2,0,0,276,-319,0
2011-01-04 00:00:00+00:00,1,4,2,2.0,100600,189,1.4,4,4.2,0,0,271,-322,0
2011-01-04 01:00:00+00:00,1,4,3,1.7,100600,190,1.1,1,4.0,0,0,246,-324,0
2011-01-04 02:00:00+00:00,1,4,4,1.2,100600,193,2.2,1,3.9,0,0,231,-326,0
2011-01-04 03:00:00+00:00,1,4,5,0.8,100600,156,1.6,0,3.8,0,0,221,-327,0
2011-01-04 04:00:00+00:00,1,4,6,0.6,100500,160,2.6,0,3.8,0,0,208,-328,0
2011-01-04 05:00:00+00:00,1,4,7,0.8,100500,155,3.0,2,3.7,0,0,213,-328,0
2011-01-04 06:00:00+00:00,1,4,8,0.6,100500,145,3.0,2,3.7,0,0,216,-328,0
2011-01-04 07:00:00+00:00,1,4,9,0.7,100400,142,3.0,3,3.7,0,7,216,-328,7
2011-01-04 08:00:00+00:00,1,4,10,1.4,100400,151,3.7,5,3.7,18,44,237,-329,62
2011-01-04 09:00:00+00:00,1,4,11,1.5,100300,152,3.6,5,3.7,51,84,256,-331,135
2011-01-04 10:00:00+00:00,1,4,12,1.9,100300,143,3.7,6,3.7,36,107,268,-332,143
2011-01-04 11:00:00+00:00,1,4,13,2.8,100200,143,4.0,5,3.7,54,115,273,-334,169
2011-01-04 12:00:00+00:00,1,4,14,4.1,100200,149,4.2,4,3.9,93,95,264,-335,188
2011-01-04 13:00:00+00:00,1,4,15,4.3,100100,143,3.9,4,4.0,44,72,258,-336,116
2011-01-04 14:00:00+00:00,1,4,16,4.1,100100,130,4.2,5,4.1,5,26,263,-337,31
2011-01-04 15:00:00+00:00,1,4,17,3.7,100000,132,3.9,6,4.1,0,0,282,-337,0
2011-01-04 16:00:00+00:00,1,4,18,4.2,100000,140,3.7,6,4.1,0,0,296,-337,0
2011-01-04 17:00:00+00:00,1,4,19,4.7,100000,146,4.3,7,4.1,0,0,307,-337,0
2011-01-04 18:00:00+00:00,1,4,20,4.6,100000,149,4.4,8,4.1,0,0,321,-337,0
2011-01-04 19:00:00+00:00,1,4,21,4.2,100000,143,3.9,8,4.2,0,0,326,-337,0
2011-01-04 20:00:00+00:00,1,4,22,4.1,100000,155,4.2,8,4.3,0,0,327,-337,0
2011-01-04 21:00:00+00:00,1,4,23,4.4,100000,168,4.1,8,4.4,0,0,328,-339,0
2011-01-04 22:00:00+00:00,1,4,24,4.6,99900,175,4.2,8,4.5,0,0,328,-339,0
2011-01-04 23:00:00+00:00,1,5,1,4.5,100000,182,4.1,8,4.6,0,0,328,-338,0
2011-01-05 00:00:00+00:00,1,5,2,4.5,100000,175,3.0,8,4.7,0,0,328,-337,0
2011-01-05 01:00:00+00:00,1,5,3,4.7,100000,180,3.1,8,4.8,0,0,328,-337,0
2011-01-05 02:00:00+00:00,1,5,4,5.0,100000,190,3.8,6,4.8,0,0,317,-338,0
2011-01-05 03:00:00+00:00,1,5,5,4.6,99900,201,3.5,6,4.7,0,0,307,-336,0
2011-01-05 04:00:00+00:00,1,5,6,4.8,100000,191,3.1,6,4.6,0,0,306,-333,0
2011-01-05 05:00:00+00:00,1,5,7,4.5,100000,192,3.7,4,4.6,0,0,296,-332,0
2011-01-05 06:00:00+00:00,1,5,8,4.5,100000,187,4.1,1,4.6,0,0,276,-333,0
2011-01-05 07:00:00+00:00,1,5,9,4.3,99900,186,3.4,1,4.5,2,8,264,-334,10
2011-01-05 08:00:00+00:00,1,5,10,4.7,99900,176,3.9,4,4.5,38,47,267,-333,85
2011-01-05 09:00:00+00:00,1,5,11,5.6,99900,166,3.9,4,4.6,56,86,275,-335,142
2011-01-05 10:00:00+00:00,1,5,12,5.8,99800,160,3.7,6,4.6,10,93,282,-338,103
2011-01-05 11:00:00+00:00,1,5,13,5.3,99700,154,4.9,7,4.5,0,62,295,-341,62
2011-01-05 12:00:00+00:00,1,5,14,5.2,99600,158,4.9,7,4.5,0,37,299,-342,37
2011-01-05 13:00:00+00:00,1,5,15,5.2,99500,148,4.9,7,4.5,0,21,299,-341,21
2011-01-05 14:00:00+00:00,1,5,16,5.5,99300,144,5.1,8,4.7,0,4,313,-341,4
2011-01-05 15:00:00+00:00,1,5,17,5.7,99200,166,4.7,8,4.8,0,0,328,-340,0
2011-01-05 16:00:00+00:00,1,5,18,5.6,99100,157,5.8,8,4.8,0,0,330,-340,0
2011-01-05 17:00:00+00:00,1,5,19,5.4,99000,158,6.6,8,4.9,0,0,332,-341,0
2011-01-05 18:00:00+00:00,1,5,20,5.4,98800,165,5.4,8,5.0,0,0,334,-343,0
2011-01-05 19:00:00+00:00,1,5,21,5.4,98800,167,4.0,8,5.1,0,0,335,-344,0
2011-01-05 20:00:00+00:00,1,5,22,5.8,98700,175,4.1,8,5.3,0,0,336,-346,0
2011-01-05 21:00:00+00:00,1,5,23,6.8,98700,174,3.9,8,5.4,0,0,338,-347,0
2011-01-05 22:00:00+00:00,1,5,24,7.2,98700,180,3.8,7,5.6,0,0,332,-350,0
2011-01-05 23:00:00+00:00,1,6,1,7.6,98700,181,4.3,7,5.7,0,0,327,-352,0
2011-01-06 00:00:00+00:00,1,6,2,8.6,98700,185,4.0,7,5.8,0,0,329,-355,0
2011-01-06 01:00:00+00:00,1,6,3,8.4,98700,197,3.9,7,5.9,0,0,331,-357,0
2011-01-06 02:00:00+00:00,1,6,4,8.7,98700,189,4.1,7,6.0,0,0,331,-359,0
2011-01-06 03:00:00+00:00,1,6,5,8.8,98700,187,4.4,8,6.0,0,0,337,-357,0
2011-01-06 04:00:00+00:00,1,6,6,9.1,98700,185,4.7,8,6.1,0,0,343,-353,0
2011-01-06 05:00:00+00:00,1,6,7,8.9,98600,180,5.1,8,6.5,0,0,341,-350,0
2011-01-06 06:00:00+00:00,1,6,8,9.2,98600,188,5.7,8,6.7,0,0,339,-346,0
2011-01-06 07:00:00+00:00,1,6,9,9.3,98600,194,5.8,8,6.8,2,9,338,-338,11
2011-01-06 08:00:00+00:00,1,6,10,9.9,98600,222,6.7,7,7.0,15,41,331,-331,56
2011-01-06 09:00:00+00:00,1,6,11,10.4,98700,264,8.3,7,7.1,0,50,325,-331,50
2011-01-06 10:00:00+00:00,1,6,12,8.3,99000,269,7.7,8,6.4,4,81,321,-332,85
2011-01-06 11:00:00+00:00,1,6,13,8.0,99200,270,6.7,7,5.6,0,45,313,-334,45
2011-01-06 12:00:00+00:00,1,6,14,8.1,99400,267,7.9,6,5.6,7,82,300,-334,89
2011-01-06 13:00:00+00:00,1,6,15,8.0,99500,271,5.7,7,5.3,16,66,296,-333,82
2011-01-06 14:00:00+00:00,1,6,16,7.3,99600,260,4.8,6,5.0,0,12,293,-331,12
2011-01-06 15:00:00+00:00,1,6,17,6.0,99800,254,3.6,6,4.8,0,0,284,-327,0
2011-01-06 16:00:00+00:00,1,6,18,5.8,99900,229,3.1,5,4.6,0,0,275,-325,0
2011-01-06 17:00:00+00:00,1,6,19,5.8,100000,215,3.3,3,4.7,0,0,259,-324,0
2011-01-06 18:00:00+00:00,1,6,20,5.6,100100,204,2.6,5,4.7,0,0,257,-323,0
2011-01-06 19:00:00+00:00,1,6,21,5.6,100100,193,2.4,7,4.8,0,0,278,-323,0
2011-01-06 20:00:00+00:00,1,6,22,5.6,100100,203,3.4,7,4.8,0,0,291,-323,0
2011-01-06 21:00:00+00:00,1,6,23,5.4,100200,196,3.0,7,4.8,0,0,291,-323,0
2011-01-06 22:00:00+00:00,1,6,24,5.7,100200,209,3.2,8,4.8,0,0,298,-322,0
2011-01-06 23:00:00+00:00,1,7,1,6.3,100300,227,3.2,7,4.8,0,0,299,-321,0
2011-01-07 00:00:00+00:00,1,7,2,5.9,100400,226,3.0,6,4.8,0,0,289,-321,0
2011-01-07 01:00:00+00:00,1,7,3,6.0,100400,220,2.4,7,4.8,0,0,291,-319,0
2011-01-07 02:00:00+00:00,1,7,4,5.7,100400,234,3.2,6,4.8,0,0,293,-318,0
2011-01-07 03:00:00+00:00,1,7,5,4.8,100500,213,3.0,7,4.6,0,0,292,-318,0
2011-01-07 04:00:00+00:00,1,7,6,4.5,100500,218,2.5,5,4.5,0,0,285,-318,0
2011-01-07 05:00:00+00:00,1,7,7,4.3,100600,221,2.4,5,4.6,0,0,271,-320,0
2011-01-07 06:00:00+00:00,1,7,8,3.8,100600,204,2.5,3,4.5,0,0,257,-321,0
2011-01-07 07:00:00+00:00,1,7,9,3.3,100600,207,1.6,3,4.4,3,9,244,-323,12
2011-01-07 08:00:00+00:00,1,7,10,3.2,100700,201,2.2,4,4.4,43,46,250,-325,89
2011-01-07 09:00:00+00:00,1,7,11,4.1,100800,201,2.4,4,4.5,73,82,259,-328,155
2011-01-07 10:00:00+00:00,1,7,12,5.5,100800,211,3.1,5,4.8,66,112,270,-332,178
2011-01-07 11:00:00+00:00,1,7,13,6.4,100800,214,3.0,5,4.9,58,117,280,-334,175
2011-01-07 12:00:00+00:00,1,7,14,7.1,100800,222,3.4,5,4.9,49,104,284,-336,153
2011-01-07 13:00:00+00:00,1,7,15,7.1,100800,204,3.4,6,4.9,21,71,291,-336,92
2011-01-07 14:00:00+00:00,1,7,16,6.6,100800,190,3.1,6,4.8,1,25,296,-336,26
2011-01-07 15:00:00+00:00,1,7,17,5.9,100800,190,2.7,6,4.8,0,0,293,-335,0
2011-01-07 16:00:00+00:00,1,7,18,5.6,100800,193,2.3,5,4.7,0,0,286,-334,0
2011-01-07 17:00:00+00:00,1,7,19,5.5,100800,186,3.2,5,4.8,0,0,281,-332,0
2011-01-07 18:00:00+00:00,1,7,20,4.7,100900,197,2.5,5,4.8,0,0,281,-329,0
2011-01-07 19:00:00+00:00,1,7,21,4.4,100900,202,2.8,5,4.7,0,0,280,-328,0
2011-01-07 20:00:00+00:00,1,7,22,4.2,100900,221,2.7,5,4.6,0,0,279,-328,0
2011-01-07 21:00:00+00:00,1,7,23,3.8,100900,198,2.3,5,4.5,0,0,277,-329,0
2011-01-07 22:00:00+00:00,1,7,24,3.5,100900,189,2.1,6,4.4,0,0,282,-329,0
2011-01-07 23:00:00+00:00,1,8,1,3.3,100900,194,2.8,7,4.4,0,0,292,-329,0
2011-01-08 00:00:00+00:00,1,8,2,2.9,100900,209,1.4,7,4.3,0,0,296,-329,0
2011-01-08 01:00:00+00:00,1,8,3,2.3,100900,207,1.0,6,4.1,0,0,287,-328,0
2011-01-08 02:00:00+00:00,1,8,4,1.4,100900,242,1.5,7,3.9,0,0,284,-327,0
2011-01-08 03:00:00+00:00,1,8,5,1.4,100900,181,1.1,7,3.9,0,0,289,-325,0
2011-01-08 04:00:00+00:00,1,8,6,1.8,100900,213,1.1,8,4.0,0,0,296,-325,0
2011-01-08 05:00:00+00:00,1,8,7,1.7,100900,230,1.5,6,4.1,0,0,289,-324,0
2011-01-08 06:00:00+00:00,1,8,8,1.4,100900,208,1.4,5,4.0,0,0,270,-322,0
2011-01-08 07:00:00+00:00,1,8,9,1.4,100900,192,1.2,5,3.9,0,6,266,-322,6
2011-01-08 08:00:00+00:00,1,8,10,2.3,100900,207,1.4,6,4.1,20,45,275,-324,65
2011-01-08 09:00:00+00:00,1,8,11,3.0,101000,210,1.1,5,4.2,34,83,278,-327,117
2011-01-08 10:00:00+00:00,1,8,12,3.6,100900,232,1.4,5,4.2,64,108,272,-330,172
2011-01-08 11:00:00+00:00,1,8,13,5.5,100900,244,2.1,2,4.4,128,95,252,-333,223
2011-01-08 12:00:00+00:00,1,8,14,5.9,100900,270,3.2,2,4.3,105,88,230,-335,193
2011-01-08 13:00:00+00:00,1,8,15,6.4,100900,271,2.9,1,4.2,58,67,226,-336,125
2011-01-08 14:00:00+00:00,1,8,16,5.3,100800,253,2.9,2,4.0,8,29,237,-334,37
2011-01-08 15:00:00+00:00,1,8,17,3.8,100800,208,2.6,3,3.9,0,0,249,-332,0
2011-01-08 16:00:00+00:00,1,8,18,2.9,100800,251,2.0,2,3.9,0,0,245,-330,0
2011-01-08 17:00:00+00:00,1,8,19,1.8,100800,245,2.7,1,3.8,0,0,232,-328,0
2011-01-08 18:00:00+00:00,1,8,20,1.5,100800,248,2.5,1,3.6,0,0,226,-327,0
2011-01-08 19:00:00+00:00,1,8,21,1.0,100900,250,2.0,0,3.5,0,0,217,-326,0
2011-01-08 20:00:00+00:00,1,8,22,0.2,100800,163,2.5,0,3.5,0,0,204,-326,0
2011-01-08 21:00:00+00:00,1,8,23,0.5,100800,213,1.6,0,3.4,0,0,196,-325,0
2011-01-08 22:00:00+00:00,1,8,24,0.8,100800,249,2.5,3,3.5,0,0,213,-325,0
2011-01-08 23:00:00+00:00,1,9,1,2.2,100800,242,3.4,7,3.6,0,0,262,-324,0
2011-01-09 00:00:00+00:00,1,9,2,1.9,100800,244,2.8,8,3.6,0,0,296,-320,0
2011-01-09 01:00:00+00:00,1,9,3,1.4,100800,239,2.7,7,3.6,0,0,294,-317,0
2011-01-09 02:00:00+00:00,1,9,4,2.0,100800,243,2.2,7,3.6,0,0,288,-316,0
2011-01-09 03:00:00+00:00,1,9,5,1.9,100800,247,2.3,7,3.6,0,0,289,-316,0
2011-01-09 04:00:00+00:00,1,9,6,2.1,100800,240,2.5,8,3.7,0,0,295,-316,0
2011-01-09 05:00:00+00:00,1,9,7,2.3,100800,233,3.1,7,3.8,0,0,294,-316,0
2011-01-09 06:00:00+00:00,1,9,8,2.8,100800,235,3.7,7,3.9,0,0,291,-315,0
2011-01-09 07:00:00+00:00,1,9,9,3.3,100800,239,3.8,8,4.0,1,8,296,-316,9
2011-01-09 08:00:00+00:00,1,9,10,3.2,100800,234,3.7,8,4.0,11,37,301,-316,48
2011-01-09 09:00:00+00:00,1,9,11,3.7,100900,233,4.0,7,4.0,1,56,296,-319,57
2011-01-09 10:00:00+00:00,1,9,12,4.0,100900,244,4.7,7,4.1,0,58,292,-324,58
2011-01-09 11:00:00+00:00,1,9,13,4.3,100900,243,4.3,7,4.2,0,62,292,-329,62
2011-01-09 12:00:00+00:00,1,9,14,4.7,100900,258,4.7,7,4.3,0,49,293,-331,49
2011-01-09 13:00:00+00:00,1,9,15,4.8,100800,243,5.0,7,4.4,0,41,294,-332,41
2011-01-09 14:00:00+00:00,1,9,16,4.9,100900,247,5.4,7,4.4,0,12,294,-331,12
2011-01-09 15:00:00+00:00,1,9,17,4.8,100900,242,5.0,7,4.5,0,0,294,-328,0
2011-01-09 16:00:00+00:00,1,9,18,4.8,100900,241,5.0,7,4.4,0,0,293,-327,0
2011-01-09 17:00:00+00:00,1,9,19,5.0,100900,247,4.4,7,4.4,0,0,292,-326,0
2011-01-09 18:00:00+00:00,1,9,20,5.1,100900,256,5.2,7,4.3,0,0,291,-325,0
2011-01-09 19:00:00+00:00,1,9,21,4.7,100900,235,5.1,7,4.2,0,0,290,-324,0
2011-01-09 20:00:00+00:00,1,9,22,4.6,101000,236,4.4,8,4.1,0,0,292,-323,0
2011-01-09 21:00:00+00:00,1,9,23,4.3,101000,235,4.7,8,4.0,0,0,294,-322,0
2011-01-09 22:00:00+00:00,1,9,24,4.1,101000,247,4.7,7,4.0,0,0,288,-321,0
2011-01-09 23:00:00+00:00,1,10,1,3.8,101000,255,4.2,8,4.0,0,0,288,-322,0
2011-01-10 00:00:00+00:00,1,10,2,3.6,101000,260,4.7,8,4.0,0,0,290,-322,0
2011-01-10 01:00:00+00:00,1,10,3,3.6,101000,253,4.1,8,4.0,0,0,290,-322,0
2011-01-10 02:00:00+00:00,1,10,4,3.4,101000,261,3.6,8,4.0,0,0,289,-322,0
2011-01-10 03:00:00+00:00,1,10,5,3.3,101000,268,3.6,8,4.0,0,0,289,-321,0
2011-01-10 04:00:00+00:00,1,10,6,2.9,101000,251,3.4,8,4.1,0,0,288,-320,0
2011-01-10 05:00:00+00:00,1,10,7,2.9,101100,279,2.7,8,4.1,0,0,286,-318,0
2011-01-10 06:00:00+00:00,1,10,8,2.5,101100,253,2.6,7,4.1,0,0,281,-317,0
2011-01-10 07:00:00+00:00,1,10,9,1.9,101100,251,2.5,7,3.9,0,9,273,-316,9
2011-01-10 08:00:00+00:00,1,10,10,2.3,101200,262,1.7,7,3.9,20,56,273,-316,76
2011-01-10 09:00:00+00:00,1,10,11,2.9,101200,282,1.4,7,4.1,15,92,273,-318,107
2011-01-10 10:00:00+00:00,1,10,12,3.6,101200,272,1.4,7,4.2,18,117,275,-321,135
2011-01-10 11:00:00+00:00,1,10,13,3.7,101200,216,1.8,6,4.2,15,120,270,-323,135
2011-01-10 12:00:00+00:00,1,10,14,4.1,101300,269,1.4,6,4.1,14,107,265,-325,121
2011-01-10 13:00:00+00:00,1,10,15,4.0,101300,251,1.1,7,4.1,4,67,271,-325,71
2011-01-10 14:00:00+00:00,1,10,16,3.9,101300,332,1.0,7,4.0,0,16,277,-323,16
2011-01-10 15:00:00+00:00,1,10,17,3.6,101300,317,1.5,7,4.1,0,0,276,-319,0
2011-01-10 16:00:00+00:00,1,10,18,3.7,101300,42,1.2,7,4.1,0,0,275,-316,0
2011-01-10 17:00:00+00:00,1,10,19,3.5,101300,52,0.6,7,4.0,0,0,275,-316,0
2011-01-10 18:00:00+00:00,1,10,20,3.3,101300,46,1.6,7,4.0,0,0,275,-317,0
2011-01-10 19:00:00+00:00,1,10,21,2.8,101300,53,1.6,8,3.9,0,0,282,-317,0
2011-01-10 20:00:00+00:00,1,10,22,2.5,101400,47,2.9,7,3.8,0,0,281,-316,0
2011-01-10 21:00:00+00:00,1,10,23,2.2,101400,51,2.6,7,3.7,0,0,275,-316,0
2011-01-10 22:00:00+00:00,1,10,24,2.0,101400,46,2.7,7,3.6,0,0,277,-316,0
2011-01-10 23:00:00+00:00,1,11,1,1.4,101500,51,3.0,7,3.5,0,0,276,-316,0
2011-01-11 00:00:00+00:00,1,11,2,1.5,101500,39,2.8,8,3.4,0,0,281,-316,0
2011-01-11 01:00:00+00:00,1,11,3,1.0,101500,41,2.1,8,3.2,0,0,287,-316,0
2011-01-11 02:00:00+00:00,1,11,4,0.1,101600,16,2.4,7,3.1,0,0,282,-316,0
2011-01-11 03:00:00+00:00,1,11,5,-0.6,101600,26,2.2,5,3.1,0,0,265,-316,0
2011-01-11 04:00:00+00:00,1,11,6,-1.1,101600,14,1.6,2,3.0,0,0,237,-316,0
2011-01-11 05:00:00+00:00,1,11,7,-1.7,101700,21,2.4,2,3.0,0,0,221,-316,0
2011-01-11 06:00:00+00:00,1,11,8,-2.2,101700,355,1.7,1,2.8,0,0,216,-317,0
2011-01-11 07:00:00+00:00,1,11,9,-4.3,101800,298,1.4,1,2.6,3,9,207,-318,12
2011-01-11 08:00:00+00:00,1,11,10,-2.9,101900,297,1.8,1,2.6,66,30,205,-319,96
2011-01-11 09:00:00+00:00,1,11,11,-0.9,101900,256,2.2,1,2.9,141,39,209,-320,180
2011-01-11 10:00:00+00:00,1,11,12,0.2,102000,319,2.8,1,2.9,191,42,212,-322,233
2011-01-11 11:00:00+00:00,1,11,13,1.3,102000,327,3.3,1,2.8,189,51,214,-322,240
2011-01-11 12:00:00+00:00,1,11,14,2.1,102000,325,3.2,1,2.7,126,67,216,-321,193
2011-01-11 13:00:00+00:00,1,11,15,1.8,102000,275,3.8,1,2.7,86,53,217,-318,139
2011-01-11 14:00:00+00:00,1,11,16,1.3,102000,268,3.8,0,2.7,13,29,211,-316,42
2011-01-11 15:00:00+00:00,1,11,17,0.2,102000,279,3.6,1,2.8,0,0,209,-315,0
2011-01-11 16:00:00+00:00,1,11,18,-0.7,102000,257,3.6,0,2.7,0,0,206,-311,0
2011-01-11 17:00:00+00:00,1,11,19,-2.0,102000,270,4.1,1,2.7,0,0,202,-308,0
2011-01-11 18:00:00+00:00,1,11,20,-1.3,102000,267,4.3,1,2.7,0,0,206,-308,0
2011-01-11 19:00:00+00:00,1,11,21,-1.3,102000,269,4.5,2,2.7,0,0,212,-307,0
