,unit,electricity,H2
dsm,str,FALSE,FALSE
file_name,str,electricity_demand.csv,h2_demand.csv
label,str,electricity demand,FCEV
type_asset,str,demand,demand
type_oemof,str,sink,sink
energyVector,str,Electricity,H2
inflow_direction,str,Electricity,H2
unit,str,kW,kg
