,unit,capacity,charging_power,discharging_power
age_installed,year,0,0,0
capex_fix,currency,0,0,0
capex_var,currency/kWh,562,470,0
crate,factor of total capacity (kWh),,1,1
efficiency,factor,0,1,1
installedCap,kWh,0,0,0
label,str,Storage capacity,discharging_power,discharging_power
lifetime,year,20,20,20
opex_fix,currency/kWh/year,0,0,0
opex_var,currency/kWh,0,0,0
soc_initial,None or factor,None,,
soc_max,factor,1,,
soc_min,factor,0,,
unit,str,kWh,kW,kW
