electricity_demand;h2_demand;consumption_price;feed-in_tariff_wind;pv_norm;wind_norm
4.631777787;0;0.049856;0.04564;0;0
4.821777787;0;0.049856;0.04456;0;0.014560724
4.806090918;0;0.049856;0.0432;0;0
4.885999959;0;0.049856;0.0432;0;0.001193657
4.743882267;0;0.049856;0.04296;0;0
4.591888867;0;0.049856;0.04296;0;0
4.537678796;0;0.049856;0.04296;0;0
5.032888883;0;0.095776;0.0432;0;0
3.836111133;0;0.095776;0.0432;0.12332264;0
3.185777791;0;0.095776;0.0432;0.2310902;0
3.12255555;0;0.095776;0.0432;0.298829;0
2.978999992;0;0.095776;0.0432;0.3191284;0
2.868777781;0;0.095776;0.0432;0.2917064;0
2.729222221;0;0.095776;0.0459;0.2212632;0
2.901333339;0;0.095776;0.0459;0.11685288;0
2.8771111;0;0.095776;0.0459;0;0
2.821111106;0;0.095776;0.049750001;0;0
3.528444434;0;0.095776;0.05683;0;0
4.984666671;0;0.095776;0.062920001;0;0
4.498555566;0;0.095776;0.0609;0;0
4.608222225;0;0.095776;0.062850002;0;0
4.721444397;0;0.095776;0.06442;0;0
4.676444434;0;0.095776;0.05725;0;0
4.700555554;0;0.049856;0.055330001;0;0
4.69899998;0;0.049856;0.05116;0;0
4.692777779;0;0.049856;0.04838;0;0
4.720555554;0;0.049856;0.04542;0;0
5.031111117;0;0.049856;0.04514;0;0
5.464444417;0;0.049856;0.04926;0;0
4.761666659;0;0.049856;0.06348;0;0
4.669777751;0;0.049856;0.08282;0;0
4.753666626;0;0.095776;0.08885;0;0
3.792333333;0;0.095776;0.090800002;0;0
3.235333344;0;0.095776;0.0914;0.11816615;0
3.189222229;0;0.095776;0.090600003;0.15520819;0
3.159555556;0;0.095776;0.08906;0.16741488;0.01473389
2.888222196;0;0.095776;0.08892;0.15361794;0.033541496
2.779777785;0;0.095776;0.08854;0.11599373;0
3.240222221;0;0.095776;0.08728;0;0.017331307
2.709444442;0;0.095776;0.087300003;0;0.001097457
2.741888879;0;0.095776;0.090609997;0;0
3.444666659;0;0.095776;0.09315;0;0
4.522222184;0;0.095776;0.09437;0;0
4.4988889;0;0.095776;0.09644;0;0
4.586;0;0.095776;0.09592;0;0
4.661222217;0;0.095776;0.0914;0;0
4.682333333;0;0.095776;0.08053;0;0
4.658888867;0;0.049856;0.05304;0;0.010318288
4.609555558;0;0.049856;0.04638;0;0.010837748
5.072777759;0;0.049856;0.0459;0;0.000892228
4.681333337;0;0.049856;0.0432;0;0.011616992
4.871333358;0;0.049856;0.0432;0;0
4.77555555;0;0.049856;0.0459;0;0.009885373
4.676555526;0;0.049856;0.05315;0;0.025688157
4.626999967;0;0.049856;0.082589997;0;0
6.568333333;0;0.095776;0.092659996;0;0.009971956
7.102444425;0;0.095776;0.094800003;0;0.022832047
8.653999959;0;0.095776;0.09535;0.09067628;0
8.546888949;0;0.095776;0.09432;0.11472223;0.009452472
8.552222184;0;0.095776;0.09316;0.12272513;0
7.763000041;0;0.095776;0.0929;0.11388438;0.00112311
6.697777751;0;0.095776;0.091659997;0.08948243;0
7.765777783;0;0.095776;0.09086;0;0
7.41766665;0;0.095776;0.09038;0;0
7.832555558;0;0.095776;0.0919;0;0
6.510888883;0;0.095776;0.09395;0;0
6.984444466;0;0.095776;0.09437;0;0
6.503777767;0;0.095776;0.094800003;0;0
4.508444458;0;0.095776;0.09432;0;0
5.046333313;0;0.095776;0.09191;0;0
4.508333337;0;0.095776;0.08165;0;0
4.484666691;0;0.049856;0.0709;0;0
4.456222201;0;0.049856;0.04794;0;0
4.44055553;0;0.049856;0.0449;0;0
4.560888904;0;0.049856;0.04353;0;0.036066819
5.631777767;0;0.049856;0.04589;0;0.001225723
